cpu_usage,memory_usage,disk_io,network_rx,network_tx,failure
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
1.0236976324639688,5529272320.0,0.0,0.0,0.0,1
